"","CUS_ID","d_v_ 1","d_v_ 2","d_v_ 3","d_v_ 4","d_v_ 5","d_v_ 6","d_v_ 7","d_v_ 8","d_v_ 9","d_v_ 10","d_v_ 11","d_v_ 12","d_v_ 13","d_v_ 14","d_v_ 15","d_v_ 16","d_v_ 17","d_v_ 18","d_v_ 19","d_v_ 20","d_v_ 21","d_v_ 22","n_v_ 1","n_v_ 2","n_v_ 3","n_v_ 4","n_v_ 5","n_v_ 6","n_v_ 7","n_v_ 8","n_v_ 9","n_v_ 10","n_v_ 11","n_v_ 12","n_v_ 13","n_v_ 14","n_v_ 15","n_v_ 16","n_v_ 17","n_v_ 18","n_v_ 19","n_v_ 20","n_v_ 21","n_v_ 22","p_v_ 1","p_v_ 2","p_v_ 3","p_v_ 4","p_v_ 5","p_v_ 6","p_v_ 7","p_v_ 8","p_v_ 9","p_v_ 10","p_v_ 11","p_v_ 12","p_v_ 13","p_v_ 14","p_v_ 15","p_v_ 16","p_v_ 17","p_v_ 18","p_v_ 19","p_v_ 20","p_v_ 21","p_v_ 22"
"275",275,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,24,25,2,18,400,NA,15,1,2,10,38,2,478,NA,2,NA,2637,5,2,1,1121,1,0.005,0.005,0,0.004,0.084,NA,0.003,0,0,0.002,0.008,0,0.1,NA,0,NA,0.551,0.001,0,0,0.234,0
"276",276,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,NA,NA,NA,2,6,NA,1,NA,NA,2,641,NA,9,NA,5,213,1339,2,2,NA,12,NA,NA,NA,NA,0.001,0.003,NA,0,NA,NA,0.001,0.287,NA,0.004,NA,0.002,0.095,0.599,0.001,0.001,NA,0.005,NA
"277",277,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,NA,61,12,12,36,NA,10,NA,6,3,8,NA,34,NA,23,2,671,9,5,NA,234,NA,NA,0.054,0.011,0.011,0.032,NA,0.009,NA,0.005,0.003,0.007,NA,0.03,NA,0.02,0.002,0.596,0.008,0.004,NA,0.208,NA
"278",278,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,NA,48,NA,26,103,NA,7,NA,NA,NA,17,3,1,1,3,NA,927,2,5,6,17,NA,NA,0.041,NA,0.022,0.088,NA,0.006,NA,NA,NA,0.015,0.003,0.001,0.001,0.003,NA,0.795,0.002,0.004,0.005,0.015,NA
"279",279,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,42,723,1,69,6,6,53,898,3,735,35,12,25,3236,12,17,10,566,1,0,0,0,0.007,0.112,0,0.011,0.001,0.001,0.008,0.139,0,0.114,0.005,0.002,0.004,0.501,0.002,0.003,0.002,0.088,0
"280",280,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,7,1,303,543,NA,21,2,19,41,318,10,59,19,19,4,3883,73,40,11,503,NA,0,0.001,0,0.052,0.092,NA,0.004,0,0.003,0.007,0.054,0.002,0.01,0.003,0.003,0.001,0.661,0.012,0.007,0.002,0.086,NA
"281",281,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,10,127,140,486,14,47,13,6,63,2065,18,210,55,31,26,2262,9,24,9,894,3,0.003,0.002,0.019,0.021,0.074,0.002,0.007,0.002,0.001,0.01,0.316,0.003,0.032,0.008,0.005,0.004,0.346,0.001,0.004,0.001,0.137,0
"282",282,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,13,NA,13,151,NA,1,1,12,12,285,18,48,NA,1,3,572,15,3,22,100,NA,0.001,0.01,NA,0.01,0.119,NA,0.001,0.001,0.009,0.009,0.224,0.014,0.038,NA,0.001,0.002,0.45,0.012,0.002,0.017,0.079,NA
"283",283,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3,1007,9,154,287,5,28,15,5,35,245,NA,159,32,36,7,2576,33,18,5,939,1,0.001,0.18,0.002,0.028,0.051,0.001,0.005,0.003,0.001,0.006,0.044,NA,0.028,0.006,0.006,0.001,0.46,0.006,0.003,0.001,0.168,0
"284",284,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,55,464,NA,13,1,128,11,648,85,20,4,3,8,903,6,79,24,372,2,0.001,0,0,0.019,0.164,NA,0.005,0,0.045,0.004,0.229,0.03,0.007,0.001,0.001,0.003,0.319,0.002,0.028,0.008,0.131,0.001
"285",285,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,4,2,75,72,176,1,8,NA,20,14,959,NA,33,57,12,12,1054,8,4,18,363,NA,0.001,0.001,0.026,0.025,0.061,0,0.003,NA,0.007,0.005,0.332,NA,0.011,0.02,0.004,0.004,0.364,0.003,0.001,0.006,0.126,NA
"286",286,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,14,1,17,331,1321,47,6,2,12,8,152,NA,113,13,3,4,1552,278,13,4,189,1,0.003,0,0.004,0.081,0.324,0.012,0.001,0,0.003,0.002,0.037,NA,0.028,0.003,0.001,0.001,0.38,0.068,0.003,0.001,0.046,0
"287",287,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,2,46,2,102,40,NA,10,3,61,28,229,NA,10,5,NA,6,705,6,6,6,159,NA,0.001,0.032,0.001,0.072,0.028,NA,0.007,0.002,0.043,0.02,0.161,NA,0.007,0.004,NA,0.004,0.494,0.004,0.004,0.004,0.112,NA
"288",288,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,6,6,1,50,844,NA,7,1,18,13,37,2,90,1,1,NA,1112,2,15,NA,230,NA,0.002,0.002,0,0.021,0.346,NA,0.003,0,0.007,0.005,0.015,0.001,0.037,0,0,NA,0.456,0.001,0.006,NA,0.094,NA
"289",289,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,NA,3,17,1248,NA,NA,NA,NA,NA,3,NA,10,NA,4,NA,346,1,9,NA,26,NA,0.001,NA,0.002,0.01,0.748,NA,NA,NA,NA,NA,0.002,NA,0.006,NA,0.002,NA,0.207,0.001,0.005,NA,0.016,NA
"290",290,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,7,NA,3,238,169,NA,52,NA,5,33,890,1,19,1,3,16,2928,52,144,4,265,NA,0.001,NA,0.001,0.049,0.035,NA,0.011,NA,0.001,0.007,0.184,0,0.004,0,0.001,0.003,0.606,0.011,0.03,0.001,0.055,NA
"291",291,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,11,1,1,107,381,NA,78,1,3,2,870,NA,127,3,4,28,1668,10,17,5,109,NA,0.003,0,0,0.031,0.111,NA,0.023,0,0.001,0.001,0.254,NA,0.037,0.001,0.001,0.008,0.487,0.003,0.005,0.001,0.032,NA
"292",292,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,NA,3,1,NA,401,3,5,1,15,NA,24,NA,7,1,12,NA,1496,9,1,1,50,NA,NA,0.001,0,NA,0.198,0.001,0.002,0,0.007,NA,0.012,NA,0.003,0,0.006,NA,0.737,0.004,0,0,0.025,NA
"293",293,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,65,1,2,96,4052,NA,9,NA,28,10,59,24,69,69,63,2,3956,1,9,10,869,NA,0.007,0,0,0.01,0.431,NA,0.001,NA,0.003,0.001,0.006,0.003,0.007,0.007,0.007,0,0.421,0,0.001,0.001,0.093,NA
"294",294,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,3,2,3,NA,32,NA,1,NA,1,1,6,6,25,7,143,NA,362,NA,1,6,140,NA,0.004,0.003,0.004,NA,0.043,NA,0.001,NA,0.001,0.001,0.008,0.008,0.034,0.009,0.194,NA,0.49,NA,0.001,0.008,0.189,NA
"295",295,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,8,1,21,14,271,2,12,NA,7,19,480,1,48,7,3,1,760,67,8,4,477,NA,0.004,0,0.009,0.006,0.123,0.001,0.005,NA,0.003,0.009,0.217,0,0.022,0.003,0.001,0,0.344,0.03,0.004,0.002,0.216,NA
"296",296,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,NA,10,NA,22,73,NA,3,NA,NA,5,58,4,63,NA,NA,NA,736,4,2,5,83,NA,NA,0.009,NA,0.021,0.068,NA,0.003,NA,NA,0.005,0.054,0.004,0.059,NA,NA,NA,0.689,0.004,0.002,0.005,0.078,NA
"297",297,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,NA,1,15,319,286,NA,47,2,66,39,2048,NA,54,35,12,48,2251,5,8,40,961,7,NA,0,0.002,0.051,0.046,NA,0.008,0,0.011,0.006,0.328,NA,0.009,0.006,0.002,0.008,0.361,0.001,0.001,0.006,0.154,0.001
"298",298,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,NA,1,1,54,158,NA,24,1,NA,1,355,NA,8,NA,3,NA,1162,6,31,1,21,1,NA,0.001,0.001,0.03,0.086,NA,0.013,0.001,NA,0.001,0.194,NA,0.004,NA,0.002,NA,0.636,0.003,0.017,0.001,0.011,0.001
"299",299,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,2,NA,1,17,135,1,20,NA,6,9,442,1,5,NA,NA,4,474,26,10,7,74,NA,0.002,NA,0.001,0.014,0.109,0.001,0.016,NA,0.005,0.007,0.358,0.001,0.004,NA,NA,0.003,0.384,0.021,0.008,0.006,0.06,NA
"300",300,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,46,1,33,4,315,31,58,1,1,23,314,NA,116,11,87,4,2376,1,13,2,1675,1,0.009,0,0.006,0.001,0.062,0.006,0.011,0,0,0.004,0.061,NA,0.023,0.002,0.017,0.001,0.465,0,0.003,0,0.328,0
"301",301,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,9,1,67,554,NA,3,1,7,18,384,4,72,3,1,1,1811,21,7,7,472,NA,0.002,0.003,0,0.019,0.161,NA,0.001,0,0.002,0.005,0.111,0.001,0.021,0.001,0,0,0.525,0.006,0.002,0.002,0.137,NA
"302",302,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,5,66,NA,NA,NA,NA,NA,9,10,70,1,1,1,423,2,1,1,28,NA,NA,NA,NA,0.008,0.107,NA,NA,NA,NA,NA,0.015,0.016,0.113,0.002,0.002,0.002,0.684,0.003,0.002,0.002,0.045,NA
"303",303,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,14,NA,20,473,1,5,1,22,17,304,14,263,8,4,2,1629,9,3,3,538,NA,0,0.004,NA,0.006,0.142,0,0.002,0,0.007,0.005,0.091,0.004,0.079,0.002,0.001,0.001,0.489,0.003,0.001,0.001,0.162,NA
"304",304,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,12,4,NA,2451,3705,NA,23,1,82,17,137,1,100,1,13,4,2392,249,8,4,610,NA,0.001,0,NA,0.25,0.378,NA,0.002,0,0.008,0.002,0.014,0,0.01,0,0.001,0,0.244,0.025,0.001,0,0.062,NA
"305",305,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,10,4,46,216,NA,25,NA,22,9,287,4,17,13,1,2,616,13,14,11,72,1,0.002,0.007,0.003,0.033,0.156,NA,0.018,NA,0.016,0.006,0.207,0.003,0.012,0.009,0.001,0.001,0.444,0.009,0.01,0.008,0.052,0.001
"306",306,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,NA,7,5,757,1,1,NA,1,NA,5,4,4,2,73,NA,947,81,100,NA,67,NA,0,NA,0.003,0.002,0.368,0,0,NA,0,NA,0.002,0.002,0.002,0.001,0.036,NA,0.461,0.039,0.049,NA,0.033,NA
"307",307,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,8,6,19,287,1015,NA,14,199,40,181,1394,NA,48,33,2,7,2478,32,110,17,1106,NA,0.001,0.001,0.003,0.041,0.145,NA,0.002,0.028,0.006,0.026,0.199,NA,0.007,0.005,0,0.001,0.354,0.005,0.016,0.002,0.158,NA
"308",308,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,7,NA,24,54,2874,NA,7,3,121,2,57,NA,358,13,6,11,1336,3,264,5,555,NA,0.001,NA,0.004,0.009,0.504,NA,0.001,0.001,0.021,0,0.01,NA,0.063,0.002,0.001,0.002,0.234,0.001,0.046,0.001,0.097,NA
"309",309,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,NA,106,210,NA,20,5,13,5,410,NA,13,2,5,5,1835,NA,2,1,109,2,0,0,NA,0.039,0.077,NA,0.007,0.002,0.005,0.002,0.149,NA,0.005,0.001,0.002,0.002,0.668,NA,0.001,0,0.04,0.001
"310",310,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,50,12,192,1014,NA,4,12,2,60,1694,4,105,21,26,46,3480,7,6,11,825,NA,0,0.007,0.002,0.025,0.134,NA,0.001,0.002,0,0.008,0.224,0.001,0.014,0.003,0.003,0.006,0.46,0.001,0.001,0.001,0.109,NA
"311",311,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,NA,23,54,2,62,NA,2,1,NA,6,23,8,45,NA,19,5,669,3,NA,NA,130,NA,NA,0.022,0.051,0.002,0.059,NA,0.002,0.001,NA,0.006,0.022,0.008,0.043,NA,0.018,0.005,0.636,0.003,NA,NA,0.124,NA
"312",312,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,NA,516,NA,7,111,NA,10,NA,NA,5,54,NA,219,1,6,NA,1119,31,7,5,129,NA,NA,0.232,NA,0.003,0.05,NA,0.005,NA,NA,0.002,0.024,NA,0.099,0,0.003,NA,0.504,0.014,0.003,0.002,0.058,NA
"313",313,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,3,1,3,1,78,NA,NA,NA,NA,NA,57,NA,10,NA,14,1,546,NA,1,NA,193,NA,0.003,0.001,0.003,0.001,0.086,NA,NA,NA,NA,NA,0.063,NA,0.011,NA,0.015,0.001,0.601,NA,0.001,NA,0.213,NA
"314",314,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,NA,3,NA,2,33,NA,106,NA,4,1,210,NA,9,NA,1,NA,692,21,8,4,62,NA,NA,0.003,NA,0.002,0.029,NA,0.092,NA,0.003,0.001,0.182,NA,0.008,NA,0.001,NA,0.599,0.018,0.007,0.003,0.054,NA
"315",315,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,252,28,2,5,135,NA,2,2,3,10,238,NA,38,4,1,2,1419,111,7,1,390,1,0.095,0.011,0.001,0.002,0.051,NA,0.001,0.001,0.001,0.004,0.09,NA,0.014,0.002,0,0.001,0.535,0.042,0.003,0,0.147,0
"316",316,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4,5,4,38,547,7,22,4,48,27,584,NA,83,6,21,2,2376,35,4,13,908,1,0.001,0.001,0.001,0.008,0.115,0.001,0.005,0.001,0.01,0.006,0.123,NA,0.018,0.001,0.004,0,0.501,0.007,0.001,0.003,0.192,0
"317",317,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,NA,NA,65,3,14,NA,17,NA,14,1,17,NA,4,1,146,2,620,NA,6,NA,150,NA,NA,NA,0.061,0.003,0.013,NA,0.016,NA,0.013,0.001,0.016,NA,0.004,0.001,0.138,0.002,0.585,NA,0.006,NA,0.142,NA
"318",318,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,2,NA,NA,10,355,NA,1,NA,NA,5,27,2,52,1,2,3,640,12,1,NA,389,NA,0.001,NA,NA,0.007,0.236,NA,0.001,NA,NA,0.003,0.018,0.001,0.035,0.001,0.001,0.002,0.426,0.008,0.001,NA,0.259,NA
"319",319,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,109,NA,131,652,NA,5,2,48,16,211,136,100,4,29,1,1624,6,4,17,326,1,0,0.032,NA,0.038,0.19,NA,0.001,0.001,0.014,0.005,0.062,0.04,0.029,0.001,0.008,0,0.474,0.002,0.001,0.005,0.095,0
"320",320,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,3,77,NA,47,296,NA,1,6,4,10,279,NA,12,1,NA,3,824,3,2,10,166,NA,0.002,0.044,NA,0.027,0.17,NA,0.001,0.003,0.002,0.006,0.16,NA,0.007,0.001,NA,0.002,0.472,0.002,0.001,0.006,0.095,NA
"321",321,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,NA,1,7,50,572,NA,9,2,5,2,4,NA,8,1,4,NA,956,NA,27,NA,138,NA,NA,0.001,0.004,0.028,0.32,NA,0.005,0.001,0.003,0.001,0.002,NA,0.004,0.001,0.002,NA,0.535,NA,0.015,NA,0.077,NA
"322",322,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,8,7,2,7,998,NA,5,NA,8,1,40,NA,66,3,6,NA,933,2,3,4,279,NA,0.003,0.003,0.001,0.003,0.421,NA,0.002,NA,0.003,0,0.017,NA,0.028,0.001,0.003,NA,0.393,0.001,0.001,0.002,0.118,NA
"323",323,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,107,5,71,463,NA,75,1,22,18,697,7,220,3,7,8,2614,11,16,3,849,NA,NA,0.021,0.001,0.014,0.089,NA,0.014,0,0.004,0.003,0.134,0.001,0.042,0.001,0.001,0.002,0.503,0.002,0.003,0.001,0.163,NA
"324",324,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,2,215,5,22,662,NA,13,NA,9,39,512,NA,68,NA,NA,10,2292,5,5,NA,1029,NA,0,0.044,0.001,0.005,0.135,NA,0.003,NA,0.002,0.008,0.105,NA,0.014,NA,NA,0.002,0.469,0.001,0.001,NA,0.211,NA
"325",325,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,8,NA,3,113,504,2,8,1,10,36,2011,18,44,112,3,31,3719,13,6,7,1226,NA,0.001,NA,0,0.014,0.064,0,0.001,0,0.001,0.005,0.255,0.002,0.006,0.014,0,0.004,0.472,0.002,0.001,0.001,0.156,NA
"326",326,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,9,NA,9,103,NA,5,4,NA,4,184,NA,112,2,1,1,632,2,10,1,351,NA,0.001,0.006,NA,0.006,0.072,NA,0.003,0.003,NA,0.003,0.129,NA,0.078,0.001,0.001,0.001,0.442,0.001,0.007,0.001,0.245,NA
"327",327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,1,9,943,471,2,42,2,14,38,246,1,45,70,12,7,2437,58,351,9,311,NA,0.002,0,0.002,0.186,0.093,0,0.008,0,0.003,0.007,0.048,0,0.009,0.014,0.002,0.001,0.48,0.011,0.069,0.002,0.061,NA
"328",328,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,2,76,723,NA,56,4,24,18,1877,1,14,12,10,45,2276,134,26,17,366,1,0.001,0.001,0,0.013,0.127,NA,0.01,0.001,0.004,0.003,0.33,0,0.002,0.002,0.002,0.008,0.4,0.024,0.005,0.003,0.064,0
"329",329,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,9,NA,5,24,177,NA,34,3,29,4,102,NA,3,2,6,24,1279,3,18,7,137,1,0.005,NA,0.003,0.013,0.095,NA,0.018,0.002,0.016,0.002,0.055,NA,0.002,0.001,0.003,0.013,0.685,0.002,0.01,0.004,0.073,0.001
"330",330,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,25,2,7,34,NA,4,NA,NA,NA,82,1,37,14,23,1,612,3,1,NA,249,NA,0.001,0.023,0.002,0.006,0.031,NA,0.004,NA,NA,NA,0.075,0.001,0.034,0.013,0.021,0.001,0.558,0.003,0.001,NA,0.227,NA
"331",331,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9,2,6,460,1265,NA,26,3,7,10,1250,1,68,6,27,5,3150,7,338,6,558,NA,0.001,0,0.001,0.064,0.176,NA,0.004,0,0.001,0.001,0.174,0,0.009,0.001,0.004,0.001,0.437,0.001,0.047,0.001,0.077,NA
"332",332,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,NA,NA,1,39,142,2,1,NA,19,14,1060,NA,18,71,3,5,1730,12,6,5,177,NA,NA,NA,0,0.012,0.043,0.001,0,NA,0.006,0.004,0.321,NA,0.005,0.021,0.001,0.002,0.523,0.004,0.002,0.002,0.054,NA
"333",333,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,NA,458,1,9,62,1,4,1,3,NA,63,11,51,10,3,NA,539,12,7,NA,91,NA,NA,0.345,0.001,0.007,0.047,0.001,0.003,0.001,0.002,NA,0.048,0.008,0.038,0.008,0.002,NA,0.406,0.009,0.005,NA,0.069,NA
"334",334,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,8,NA,6,981,2524,NA,5,2,10,3,31,NA,11,8,2,4,596,1,78,6,136,NA,0.002,NA,0.001,0.222,0.572,NA,0.001,0,0.002,0.001,0.007,NA,0.002,0.002,0,0.001,0.135,0,0.018,0.001,0.031,NA
"335",335,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,11,2,6,30,272,NA,11,2,1,17,231,NA,20,2,8,2,653,22,3,4,202,NA,0.007,0.001,0.004,0.02,0.181,NA,0.007,0.001,0.001,0.011,0.154,NA,0.013,0.001,0.005,0.001,0.436,0.015,0.002,0.003,0.135,NA
"336",336,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,1,3,13,816,NA,64,4,16,8,194,2,32,5,52,5,2769,23,10,15,596,1,0.004,0,0.001,0.003,0.176,NA,0.014,0.001,0.003,0.002,0.042,0,0.007,0.001,0.011,0.001,0.596,0.005,0.002,0.003,0.128,0
"337",337,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,NA,14,102,773,NA,91,2,10,16,1989,3,126,16,9,216,3451,5,31,3,496,2,0.002,NA,0.002,0.014,0.105,NA,0.012,0,0.001,0.002,0.27,0,0.017,0.002,0.001,0.029,0.468,0.001,0.004,0,0.067,0
"338",338,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,NA,2,11,14,264,NA,1,2,5,7,195,NA,147,7,NA,2,1437,3,10,6,284,NA,NA,0.001,0.005,0.006,0.11,NA,0,0.001,0.002,0.003,0.081,NA,0.061,0.003,NA,0.001,0.599,0.001,0.004,0.003,0.118,NA
"339",339,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,2,6,3,171,143,NA,2,3,NA,8,135,NA,33,5,14,7,877,17,110,5,103,NA,0.001,0.004,0.002,0.104,0.087,NA,0.001,0.002,NA,0.005,0.082,NA,0.02,0.003,0.009,0.004,0.533,0.01,0.067,0.003,0.063,NA
"340",340,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,14,NA,NA,349,848,NA,6,NA,2,1,18,NA,19,2,8,NA,2307,8,26,6,143,17,0.004,NA,NA,0.092,0.225,NA,0.002,NA,0.001,0,0.005,NA,0.005,0.001,0.002,NA,0.611,0.002,0.007,0.002,0.038,0.005
"341",341,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,NA,12,NA,622,389,NA,32,NA,5,10,501,NA,80,42,6,11,2552,22,59,10,388,1,NA,0.003,NA,0.131,0.082,NA,0.007,NA,0.001,0.002,0.106,NA,0.017,0.009,0.001,0.002,0.538,0.005,0.012,0.002,0.082,0
"342",342,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,2,2,27,NA,NA,40,1,1,9,NA,16,2,8,1,560,1,NA,2,37,NA,0.001,0.001,0.003,0.003,0.038,NA,NA,0.056,0.001,0.001,0.013,NA,0.023,0.003,0.011,0.001,0.788,0.001,NA,0.003,0.052,NA
"343",343,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,NA,384,1752,NA,57,4,11,3,37,3,18,2,16,1,4831,77,94,1,476,1,0.001,0,NA,0.049,0.225,NA,0.007,0.001,0.001,0,0.005,0,0.002,0,0.002,0,0.621,0.01,0.012,0,0.061,0
"344",344,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,8,2,5,112,1119,NA,23,3,24,10,72,3,30,3,3,2,2117,2,17,14,198,NA,0.002,0.001,0.001,0.03,0.297,NA,0.006,0.001,0.006,0.003,0.019,0.001,0.008,0.001,0.001,0.001,0.562,0.001,0.005,0.004,0.053,NA
"345",345,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,5,NA,92,1032,NA,9,3,4,162,345,4,82,4,1,5,1399,6,339,6,119,NA,NA,0.001,NA,0.025,0.285,NA,0.002,0.001,0.001,0.045,0.095,0.001,0.023,0.001,0,0.001,0.387,0.002,0.094,0.002,0.033,NA
"346",346,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,8,107,1,51,18,NA,4,1,2,8,396,NA,11,36,1,NA,481,2,4,3,36,NA,0.007,0.091,0.001,0.044,0.015,NA,0.003,0.001,0.002,0.007,0.338,NA,0.009,0.031,0.001,NA,0.411,0.002,0.003,0.003,0.031,NA
"347",347,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,NA,14,122,130,NA,10,NA,4,44,169,NA,12,NA,105,2,858,49,17,3,73,NA,0.001,NA,0.009,0.076,0.081,NA,0.006,NA,0.002,0.027,0.105,NA,0.007,NA,0.065,0.001,0.532,0.03,0.011,0.002,0.045,NA
"348",348,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,NA,9,4,10,1034,3,13,2,6,62,2947,NA,85,14,14,9,2561,201,10,10,922,NA,NA,0.001,0.001,0.001,0.131,0,0.002,0,0.001,0.008,0.372,NA,0.011,0.002,0.002,0.001,0.324,0.025,0.001,0.001,0.116,NA
"349",349,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,16,2,NA,25,55,NA,7,NA,NA,7,432,NA,13,1,2,8,524,9,4,9,92,NA,0.013,0.002,NA,0.021,0.046,NA,0.006,NA,NA,0.006,0.358,NA,0.011,0.001,0.002,0.007,0.434,0.007,0.003,0.007,0.076,NA
