"","CUS_ID","d_v_ 1","d_v_ 2","d_v_ 3","d_v_ 4","d_v_ 5","d_v_ 6","d_v_ 7","d_v_ 8","d_v_ 9","d_v_ 10","d_v_ 11","d_v_ 12","d_v_ 13","d_v_ 14","d_v_ 15","d_v_ 16","d_v_ 17","d_v_ 18","d_v_ 19","d_v_ 20","d_v_ 21","d_v_ 22","n_v_ 1","n_v_ 2","n_v_ 3","n_v_ 4","n_v_ 5","n_v_ 6","n_v_ 7","n_v_ 8","n_v_ 9","n_v_ 10","n_v_ 11","n_v_ 12","n_v_ 13","n_v_ 14","n_v_ 15","n_v_ 16","n_v_ 17","n_v_ 18","n_v_ 19","n_v_ 20","n_v_ 21","n_v_ 22","p_v_ 1","p_v_ 2","p_v_ 3","p_v_ 4","p_v_ 5","p_v_ 6","p_v_ 7","p_v_ 8","p_v_ 9","p_v_ 10","p_v_ 11","p_v_ 12","p_v_ 13","p_v_ 14","p_v_ 15","p_v_ 16","p_v_ 17","p_v_ 18","p_v_ 19","p_v_ 20","p_v_ 21","p_v_ 22"
"2147",2147,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,9,358,15,80,941,3,17,32,4,10,83,NA,145,NA,75,NA,2086,9,17,2,464,NA,0.002,0.082,0.003,0.018,0.216,0.001,0.004,0.007,0.001,0.002,0.019,NA,0.033,NA,0.017,NA,0.48,0.002,0.004,0,0.107,NA
"2148",2148,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,175,5,20,548,NA,94,NA,51,1,233,2,55,NA,9,1,1078,9,19,12,204,NA,0,0.07,0.002,0.008,0.218,NA,0.037,NA,0.02,0,0.093,0.001,0.022,NA,0.004,0,0.428,0.004,0.008,0.005,0.081,NA
"2149",2149,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2,1,17,44,108,NA,6,NA,1,12,219,NA,72,7,7,3,732,14,5,1,105,NA,0.001,0.001,0.013,0.032,0.08,NA,0.004,NA,0.001,0.009,0.162,NA,0.053,0.005,0.005,0.002,0.54,0.01,0.004,0.001,0.077,NA
"2150",2150,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,25,1,1,20,184,NA,21,1,12,3,75,2,14,6,25,NA,948,8,2,16,487,NA,0.014,0.001,0.001,0.011,0.099,NA,0.011,0.001,0.006,0.002,0.041,0.001,0.008,0.003,0.014,NA,0.512,0.004,0.001,0.009,0.263,NA
"2151",2151,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,34,32,4,214,1470,NA,7,3,6,11,258,14,344,12,46,3,2530,45,114,6,432,NA,0.006,0.006,0.001,0.038,0.263,NA,0.001,0.001,0.001,0.002,0.046,0.003,0.062,0.002,0.008,0.001,0.453,0.008,0.02,0.001,0.077,NA
"2152",2152,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,NA,NA,3,33,544,NA,2,NA,1,6,44,NA,5,NA,NA,1,506,2,17,1,38,5,NA,NA,0.002,0.027,0.45,NA,0.002,NA,0.001,0.005,0.036,NA,0.004,NA,NA,0.001,0.419,0.002,0.014,0.001,0.031,0.004
"2153",2153,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,2,1,53,108,NA,1,1,1,NA,50,NA,69,1,NA,1,1250,2,27,NA,975,1,0,0.001,0,0.021,0.042,NA,0,0,0,NA,0.02,NA,0.027,0,NA,0,0.491,0.001,0.011,NA,0.383,0
"2154",2154,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,NA,1,NA,10,27,NA,32,1,1,1,134,NA,1,NA,NA,4,399,20,13,12,61,NA,NA,0.001,NA,0.014,0.038,NA,0.045,0.001,0.001,0.001,0.187,NA,0.001,NA,NA,0.006,0.556,0.028,0.018,0.017,0.085,NA
"2155",2155,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,19,119,942,NA,21,10,66,64,86,42,42,100,35,22,1284,6,147,21,281,1,0.001,0.001,0.006,0.036,0.284,NA,0.006,0.003,0.02,0.019,0.026,0.013,0.013,0.03,0.011,0.007,0.387,0.002,0.044,0.006,0.085,0
"2156",2156,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,2,22,2,53,504,NA,6,NA,1,21,29,2,77,NA,22,1,838,39,22,29,96,NA,0.001,0.012,0.001,0.03,0.285,NA,0.003,NA,0.001,0.012,0.016,0.001,0.044,NA,0.012,0.001,0.475,0.022,0.012,0.016,0.054,NA
