,Overall
satur_z3,1.7573542975
fab_ratio3,1.7572052821
횟수비율_스포츠.레저,1.7545689299
aug_ratio3,1.7536904982
cons_cnt9_wk,1.7533352382
sep_ratio2,1.7495055031
cons_cnt13,1.7491319356
cons_num18_ratio_wk,1.7483275169
횟수_건강.의학,1.7474636984
cons_num9,1.7408466411
cons_time18_ratio_wk,1.7386876677
fab_ratio,1.7382144378
cons_cnt12,1.7360105508
time9_z,1.7323117986
apr_day,1.7288596303
time12_z_wk,1.7239271786
cons_num13_ratio,1.7192190591
time12_z3,1.7185516996
time18_z_we,1.7168141512
time18_z_wk,1.7102199196
jun_cnt,1.7091263046
apr_ratio3,1.7065338266
cons_cnt9_ratio_wk,1.7053232552
cons_num18_we,1.6927631833
cons_num18_ratio_we,1.6924342437
cons_num12_ratio,1.6908135867
tues_cnt,1.6890764524
jun_ratio3,1.687902136
cons_time13_ratio_wk,1.6877097178
wednes_cnt,1.684418997
time18_z2,1.6831055614
cons_num12,1.6820418281
cons_time8_wk,1.6814090478
cons_num9_ratio,1.6794588985
aug_ratio,1.675151428
jul_z,1.6744093329
cons_time13,1.6720686664
jul_ratio,1.66629697
cons_cnt18_ratio_we,1.6617672937
thurs_cnt,1.6584838463
time0_z2_we,1.6571063009
sep_z2,1.6565653922
cons_cnt12_ratio,1.6444963599
time18_z2_we,1.6403047937
wednes_time,1.6312733785
may_z,1.6310103633
cons_cnt5,1.6230205384
n_v_.3,1.6205171463
sep_ratio,1.6120420472
time12_z3_wk,1.6111844773
cons_time18_we,1.6089796805
time18_z2_wk,1.6089633149
cons_num13_ratio_wk,1.6069313104
cons_cnt12_ratio_wk,1.6047562844
aug_day,1.6025300412
cons_num12_ratio_wk,1.5994911473
aug_z2,1.5904937303
cons_time13_wk,1.5819972735
time0_z3_we,1.5808639918
time9_z_wk,1.579278849
cons_time5_ratio,1.5756541107
may_cnt,1.574362636
time13_z2_wk,1.5722529209
cons_time8_ratio_wk,1.5695015707
cons_time22_wk,1.5686209993
cons_time5_wk,1.5665658769
cons_cnt8_ratio,1.565170192
cons_time8_ratio_we,1.5629556493
cons_time13_ratio,1.5623995104
