,Overall
apr_ratio2,7.6612893476
sep_time,7.6593186121
oct_ratio2,7.6428388395
apr_cnt,7.6369709859
oct_ratio3,7.6214229929
aug_day,7.6024267232
sep_ratio,7.5915604285
time18_z_we,7.5575683519
cons_time8_wk,7.4693009824
fab_ratio,7.4655573095
sep_z,7.4597143728
time8_z_we,7.4574101181
cons_num18,7.429461588
cons_num9,7.3948563421
cons_num9_ratio_we,7.3819160171
apr_z2,7.3414470829
apr_ratio3,7.3155809936
we_time,7.2972454404
n_v_.1,7.2719744457
may_ratio3,7.2592674103
s_t_mean,7.2224558547
cons_num18_we,7.18771017
fri_cnt,7.1654586212
mon_time,7.1553207736
mar_z,7.132768458
wednes_cnt,7.1219312549
cons_num13_wk,7.1125026033
time18_z2_we,7.0606929217
mar_day,7.0527210321
sep_z3,7.0467110883
time9_z3_we,7.0411317072
apr_ratio,7.0291971555
mar_cnt,7.0097969141
mon_cnt,6.9735204175
jun_z2,6.9559564342
satur_z2,6.9406137188
fri_time,6.8919150868
cons_cnt18,6.8732082738
time18_z3_we,6.8680790641
cons_cnt18_wk,6.8659897354
jun_time,6.840506629
cons_num13,6.8364650517
jun_cnt,6.8122802507
횟수_사회.문화.종교,6.8121974406
cons_cnt8_wk,6.7597828393
n_v_.14,6.7589950105
apr_day,6.757645592
sep_ratio2,6.7432176965
jun_ratio3,6.6841037844
cons_time13_ratio_wk,6.6821432227
mar_z3,6.6306437578
satur_cnt,6.6124789711
we_day,6.6061978229
tues_cnt,6.6059118957
time12_z_wk,6.6013525489
mar_ratio3,6.5570833485
may_cnt,6.5275503959
tues_time,6.4948187559
cons_time8_ratio_we,6.4639424048
may_time,6.4519466947
time13_z,6.3963821407
jun_z,6.3638830318
jul_ratio3,6.3575937381
time13_z_wk,6.3414722217
aug_ratio,6.3405942085
cons_time13_ratio,6.3390194779
cons_cnt9,6.3333140433
may_z2,6.3199523975
cons_num12_wk,6.3165148925
satur_day,6.3154414517
satur_ratio,6.29777435
cons_time9,6.2906614954
aug_z2,6.2814696781
jun_day,6.2733322581
jun_ratio2,6.2571227863
cons_cnt12_ratio_wk,6.2245620916
cons_cnt18_we,6.218349788
jun_ratio,6.2177902518
cons_time18_ratio_we,6.2023496023
cons_cnt12_wk,6.1940349183
cons_num12_ratio,6.1879630175
cons_cnt9_wk,6.1741583348
cons_cnt13,6.1674847603
sun_cnt,6.1580597854
cons_time5,6.1566875472
thurs_time,6.1375310669
jul_ratio2,6.1177446377
jul_ratio,6.1136906114
aug_z3,6.1057141696
cons_time12,6.0784974683
may_ratio,6.0634795644
cons_num12,6.0565132111
we_cnt,6.0237704404
aug_z,5.9746677512
cons_cnt12,5.9610621337
thurs_cnt,5.9497368604
cons_num18_ratio_we,5.9373858051
cons_time18_ratio_wk,5.914044171
apr_z,5.8930773615
satur_z,5.8909098793
diversity,5.8891786589
p_v_.6,5.8881620804
jun_z3,5.8879357075
sun_z2,5.8561455946
n_v_.12,5.8246059119
satur_ratio2,5.812392477
sun_ratio2,5.8045005899
time8_z3_we,5.8034719214
time8_z2_we,5.7880511079
cons_time12_wk,5.7865091923
satur_ratio3,5.761154657
time0_z3_we,5.7604840566
jul_z2,5.7586278244
cons_time13_wk,5.7581608334
cons_cnt13_wk,5.7520087334
cons_time8_ratio,5.7452356856
time0_z2_we,5.7389263109
sun_time,5.7290063412
time8_z2,5.7257937742
time13_z2_wk,5.7219844696
may_ratio2,5.7196215339
cons_num13_ratio_wk,5.6797736051
wednes_time,5.6363245651
cons_num9_wk,5.6324250609
cons_cnt5,5.6202490067
cons_num8_ratio,5.5915381939
cons_cnt5_wk,5.5724339501
cons_cnt8_ratio,5.5591864681
cons_time12_ratio_wk,5.5587218641
time12_z,5.5574706649
횟수비율_문학.예술,5.5507349618
n_v_.8,5.49292537
cons_cnt8_ratio_wk,5.4613435109
cons_cnt13_ratio_wk,5.4588244989
time18_z_wk,5.4475496589
cons_num13_ratio,5.4373340328
time12_z2_wk,5.4193598119
may_day,5.4189080962
may_z,5.4177664104
time12_z3,5.414920597
time12_z3_wk,5.414262809
cons_num9_ratio,5.411934221
jul_z3,5.4045147091
cons_time9_wk,5.4037420216
cons_num0_ratio_we,5.399816867
satur_z3,5.3907011235
time8_z,5.3861150851
aug_ratio3,5.3660000367
time12_z2,5.3638915498
cons_cnt9_ratio,5.3502441442
time18_z3_wk,5.3407320133
time9_z_wk,5.3394294678
cons_num12_ratio_wk,5.3068563029
cons_num8_ratio_we,5.2961100439
cons_num5_wk,5.2772096627
time18_z2,5.250619187
cons_cnt8_ratio_we,5.24873978
time9_z2_wk,5.2380882974
time8_z3_wk,5.2363782273
cons_cnt13_ratio,5.2314152758
time8_z3,5.2217348936
cons_cnt18_ratio_wk,5.2126343864
time13_z3_wk,5.2065542885
time0_z_we,5.175881864
cons_time5_wk,5.1640499005
cons_cnt18_ratio_we,5.1618974348
cons_cnt12_ratio,5.1474502815
cons_time9_ratio,5.1194132839
time9_z2,5.1170698134
cons_num18_ratio_wk,5.1158623708
cons_num8_we,5.0636235353
cons_time18_ratio,5.0446987158
time18_z2_wk,5.0307542356
time18_z,5.0272932349
cons_num9_ratio_wk,4.9965948579
s_v_median,4.9795796964
time8_z2_wk,4.9760702543
time13_z3,4.9257825496
횟수_스포츠.레저,4.9003017819
cons_time13,4.8880582414
cons_cnt18_ratio,4.8818297685
cons_time12_ratio,4.84986664
time9_z3,4.8411843399
time18_z3,4.8242163817
cons_time9_ratio_wk,4.8085546237
time8_z_wk,4.8040414289
time9_z,4.7905040296
소모시간_문학.예술,4.7745760764
cons_cnt22,4.773475749
time5_z3_we,4.7535807297
cons_num8_ratio_wk,4.7127465501
time22_z3_we,4.7027868934
cons_cnt9_ratio_wk,4.6841269251
time22_z_we,4.6817641454
time13_z2,4.6767726281
time5_z_we,4.6568954248
시간비율_문학.예술,4.6559683599
time22_z2_we,4.6268672507
cons_num18_ratio,4.6044447664
cons_num22_wk,4.5855369493
wk_cnt,4.5587360112
sum_cnt,4.5178261355
cons_cnt22_wk,4.4639636198
wk_ratio2,4.4621726729
cons_time0_we,4.4388075288
cons_time22_wk,4.4374664421
cons_time22,4.4263499531
cons_cnt0_ratio_we,4.4128273479
time9_z3_wk,4.380617368
cons_time22_we,4.3617395397
cons_num5_we,4.3552540079
we_ratio2,4.3398039465
wk_z2,4.3027820013
