CUS_ID,s_v_min,s_t_min,s_pr_min,s_prt_min,s_v_max,s_t_max,s_pr_max,s_prt_max,s_v_mean,s_t_mean,s_pr_mean,s_prt_mean,s_v_median,s_t_median,s_pr_median,s_prt_median,s_v_sd,s_t_sd,s_pr_sd,s_prt_sd
650,1,0,1,0,98,28280,922,146.25,30.90625,4020.140625,196.65234375,19.316202267,29,3111,169,18.90675228,21.800858951,4054.671513,167.56589642,12.647797635
651,1,0,1,0,73,18223,577,600,12.024070022,2449.2089716,69.021881838,46.884948648,7,1350.5,40,32.871028971,12.524476385,2877.7733043,81.241405729,64.961434827
652,1,0,1,0,61,7427,431,294.5,8.3255813953,920.40697674,41.002325581,21.268069922,5,398,18,17.437739464,8.7520119039,1326.9877484,56.759686391,19.664605091
653,1,0,1,0,80,17911,562,326,6.8914956012,612.17888563,32.387096774,21.183403922,4,88,8,9,8.1930719185,1653.7139539,65.235431171,40.963320766
654,1,0,1,0,168,59433,1073,238,11.069105691,1178.8414634,67.260162602,17.338017809,6.5,318.5,25.5,9.7829089182,17.270220353,4114.9406993,116.95911286,25.469801291
655,1,0,1,0,24,2315,164,264,3.0538461538,165.71538462,13.6,10.294311798,2,38,8,4.7209677419,2.6684239645,329.3627227,19.012889688,18.823924674
656,1,3,1,0.75,94,12436,665,82,34.101886792,3484.5660377,171.62641509,21.023349127,30,3039,140,19.973684211,22.250659597,2697.2476355,131.59056127,9.4967610469
657,1,0,1,0,63,3835,448,293,4.9671052632,356.36513158,28.421052632,17.381339003,3,88.5,10,8.7985507246,5.8669716728,681.14012475,58.107903079,27.811074171
658,1,0,1,0,65,15660,500,209.71428571,14.100558659,1936.349162,80.539106145,23.583179676,10,918,47,19.661842105,12.939893354,2511.9608673,91.879456903,21.154577572
659,1,0,1,0,74,10295,581,268,12.222857143,1475.8771429,78.925714286,21.104902812,10,948,55.5,16.648060604,10.231506084,1582.6579686,77.009917654,24.591773498
660,1,54,4,6,27,5679,255,81.571428571,8.3235294118,1616.1862745,55.725490196,34.553881968,7,1546,42,30.577380952,4.300959517,1018.9515844,46.341427025,15.967519627
661,1,0,1,0,47,7464,364,429.5,9.731277533,1024.5991189,53.339207048,19.894529432,6,432,30,15.5,9.5144528927,1410.3801197,68.301287289,31.554838943
662,1,0,1,0,53,7319,326,127.66666667,11.206030151,1139.0904523,49.673366834,23.484158427,9,808,38,19.710655738,8.4324408841,1223.5606202,47.220676471,18.508862901
663,1,0,1,0,51,7281,292,163,8.4645030426,803.19878296,37.356997972,24.0360166,5,406,22,18.933333333,9.2528427628,1041.3539191,44.333482372,21.572685048
664,1,0,1,0,88,23209,1099,128.2,15.717842324,2399.0871369,129.14522822,19.993191876,10,1154,56,17.045454545,14.725942709,3276.2215808,176.42935221,17.01411541
665,1,0,1,0,87,13641,505,101.96296296,13.041958042,1471.0839161,65.325174825,21.7812805,9,841,42,18.342728758,14.064200728,1870.6580848,77.658333084,17.682251755
666,1,0,1,0,45,7432,304,356.33333333,5.2832369942,626.83526012,21.546242775,29.448991796,4,244.5,10,22.687878788,5.3308625005,1026.9006635,32.812588611,32.871168721
667,1,0,1,0,73,41969,556,283.29591837,10.965517241,2358.5551724,59.775862069,38.94227495,8,840,33.5,26.101724138,11.109342552,4804.6352531,77.269859902,45.671868822
668,1,0,2,0,46,15254,545,211.6,8.4926829268,1772.7560976,75.780487805,22.995547288,6,1037,48,19.5,6.9258109967,2176.5587268,84.131407542,21.073730464
669,1,0,1,0,69,17606,545,106.4,15.483076923,2388.3630769,74.796923077,29.450852594,11,1349,53,26.607843137,12.607703519,2864.1511579,75.919966732,19.724935136
670,10,1207,61,13.715909091,101,27303,769,50.045889101,51.091666667,11318.016667,393.375,28.631552759,52,11304,402.5,28.271176247,16.700020547,4904.2730245,139.56366955,7.0515857978
671,1,0,1,0,54,22768,1724,176.5,8.0620842572,3115.6518847,264.03991131,13.221119437,6,1933,161.5,11.387384264,6.7740219391,3232.8376423,267.84716301,9.4887562221
672,1,13,1,1.7272727273,75,16379,931,598,17.378854626,2766.9867841,101.13656388,39.902317267,13,2019,61,30.05,13.838099661,2810.949878,124.75939262,61.391355822
673,1,1,1,0.42857142857,34,4522,235,169.5,5.7247191011,572.30898876,28.511235955,22.904470013,4,280.5,14,14.961111111,4.9810438608,848.18416214,37.090245533,24.38984105
674,1,0,1,0,103,169688,865,600,27.008658009,6194.7012987,136.65367965,67.714335388,22,4226,96,38.425925926,21.901953723,12529.717061,147.60759222,108.6748224
675,1,0,1,0,116,20263,974,134,25.679487179,3015.9401709,200.71794872,15.196645638,18,2007,126.5,13.027941176,22.847973167,3442.4401025,201.28899414,12.299624303
676,1,0,2,0,74,7827,565,200.4,9.8638743455,1149.4581152,72.138743455,21.646115611,7,808.5,38,18.958333333,8.899397111,1212.1814145,93.694338109,18.069348599
677,1,0,1,0,57,12707,462,600,6.1102941176,899.79411765,26.334558824,44.213975695,4.5,521.5,14,30.617260788,6.5489052003,1294.7984107,40.866019733,66.800374861
678,1,0,1,0,26,6933,191,202.4,5.6267942584,668.69856459,18.928229665,33.642491939,4,320,8,26.137931034,5.2021121599,960.69706766,25.34321365,35.939353848
679,1,0,1,0,8,723,106,100,2.4262295082,49.672131148,7.3825136612,6.8366385839,2,13,4,2.6666666667,1.5979968545,102.82184336,10.925628718,13.749749075
680,1,0,1,0,62,9139,352,113.07692308,17.636871508,2512.5921788,69.039106145,37.455905983,14,1918,48,35.736842105,14.097851587,2405.4969858,69.274844497,23.316947296
681,1,0,1,0,97,10731,571,310,26.25,2149.1830357,119.6875,17.955174641,23,1597.5,94.5,15.656427043,20.102651366,2153.6429347,103.03197564,21.986384602
682,1,0,1,0,95,9077,460,430,14.707650273,1375.0355191,46.87431694,33.882050212,11,958.5,34,28.351689612,12.40390113,1348.1003118,51.768140056,33.57590309
683,1,0,1,0,34,5820,248,193.71428571,8.3795180723,956.04819277,37.307228916,25.068982123,7,579.5,25,19.473354232,5.7740749549,1087.2469029,36.210941869,22.722092071
684,1,0,1,0,109,34483,1034,299,8.8622327791,995.08551069,34.406175772,23.58602626,5,237,15,11.547619048,10.261115866,2902.3512845,69.051629131,37.578981387
685,1,0,1,0,41,16588,554,228.66666667,10.25,1690.3305085,68.419491525,28.695804889,7,1097,41,22.37254902,9.2239858463,2022.4407502,75.035352529,27.602273121
686,1,0,1,0,18,3807,86,359.2,3.5384615385,371.95951417,12.44534413,37.228510557,2,120,6,24.666666667,3.3769812705,611.72415138,16.151595374,48.188091365
687,1,0,1,0,65,11348,279,600,13.959459459,2234.3027027,48.997297297,54.177383457,12,1737.5,39,48.056029643,10.663413108,1927.5517632,45.621186697,47.017792361
688,1,1,1,1,59,52476,385,255.9804878,9.246031746,2638.2460317,78.825396825,35.727287367,8,2064,64,32.113715278,6.8427837442,3733.2598216,66.060045047,23.742291916
689,1,0,1,0,38,12318,449,205.66666667,8.1693121693,1242.4391534,48.126984127,25.252754621,6,576,27,20.757575758,7.5444011968,1839.8196092,65.922623582,22.723760203
690,1,0,1,0,52,35979,328,600,7.8123138034,884.51142006,24.486593843,37.52837265,5,402,12,30.25,8.0851290305,1602.4135188,32.536194389,41.708554821
691,1,0,1,0,74,13079,508,519,14.980842912,1532.5977011,82.747126437,21.622847118,10,932,55,16.141935484,13.837366387,1825.7604325,87.638534516,35.705733741
692,1,0,1,0,150,17228,493,197.33333333,16.12987013,1970.0649351,88.744588745,21.420314162,8,850,36,16.698060942,18.287808233,2687.0286903,111.16352879,22.092380705
693,1,0,1,0,31,4620,238,166.55555556,6.6779661017,550.80508475,34.279661017,14.482742324,5,252,22,10.554945055,5.2985447315,754.31233735,39.651864938,17.010458148
694,1,0,1,0,87,19632,438,95.92,19.876068376,2615.1111111,103.52564103,25.134817166,13.5,1544.5,78,22.233667018,17.145102278,3090.9035952,96.402329904,16.931636072
695,1,0,1,0,41,6695,563,142.25,5.9497816594,387.59170306,25.310043668,15.214469222,4,84,8,9,6.2398880962,835.95545599,52.596352633,20.260769573
696,1,0,1,0,33,4166,393,557,4.5362637363,349.10549451,18.674725275,22.73574061,3,125,8,14.1,4.2325442636,588.57375386,34.607868123,34.799345047
697,1,0,1,0,28,4777,117,117,4.4619883041,483.04093567,18.30994152,22.65860716,3,172,10,14.2,4.6237894594,806.82951298,22.375744891,24.347285699
698,1,0,1,0,67,11551,531,131.75,15.317180617,1518.7797357,69.321585903,21.820815086,14,1192,58,20.405797101,10.35501738,1435.5741828,61.48312684,14.16566962
699,1,0,1,0,45,11144,312,274.5,9.2874251497,1252.0299401,53.652694611,24.040262057,7,549,25,18.652173913,7.8840251756,1837.8996145,65.717534304,26.566044754
700,1,0,1,0,78,20925,922,271.42647059,19.333333333,5002.7795699,94.997311828,61.984564018,17,4420.5,70,56.125396825,13.345569408,3859.1235734,104.71930132,36.969810801
701,1,0,1,0,133,27505,972,132,37.01826484,4698.2739726,208.52511416,22.332743938,31,3044,146,20.241935484,30.107294899,5016.8398747,199.09133734,16.703001341
702,2,46,3,3.7884615385,80,14601,543,79.72815534,32.7,4966.5705882,159.20588235,30.309880557,30,4155,147,28.129166667,15.54106985,3473.4894973,92.344985868,12.398535904
703,1,0,1,0,74,10540,354,70,23.351955307,2678.4581006,101.05027933,26.068247453,23,2324,84,27.014563107,15.783796772,2199.8356711,77.311515905,12.26005216
704,1,0,1,0,52,17579,407,277.25,10.857142857,1820.3621262,68.508305648,27.379971371,8,1138,46,23.680555556,9.3196668651,2108.6653105,70.842106811,23.950371693
705,1,0,1,0,74,22936,585,600,13.526946108,2428.2754491,71.116766467,40.747085675,9,1464.5,39,34.674944439,13.21015824,3023.1068077,93.464136883,41.440016465
706,1,0,1,0,98,46899,1322,76.666666667,9.3386454183,1210.123506,70.677290837,14.20389782,6,493,41,10.675,11.850099601,3344.5269855,111.2932857,12.356900664
707,1,0,1,0,38,7613,315,563,4.5084745763,391.22760291,19.302663438,28.855144004,3,77,6,11.514285714,4.9402302182,893.70222475,38.424846807,55.705835871
708,1,0,1,0,42,6916,270,180.33333333,7.9029126214,633.90614887,36.184466019,14.953023686,6,293,23,10.688311688,6.3145593924,938.20993255,39.295851101,16.734168475
709,1,0,2,0,15,1548,51,44.516129032,1.4551724138,41.124137931,3.7517241379,2.0022298514,1,1,2,0.5,1.6413887681,195.20430475,6.3372038989,6.5835274195
710,1,0,1,0,36,5175,244,97.5,6.7209302326,869.23837209,34.261627907,24.127560766,5,567.5,23.5,20.919089147,5.716808423,1010.8526979,36.218410454,19.212924736
711,1,0,1,0,80,11520,727,277,14.649006623,2040.9569536,108.95033113,20.788113658,9,1217.5,69,17.100961538,14.635855776,2266.5016698,116.77074611,20.081800212
712,2,1,3,0.125,19,7704,320,121.63157895,5.6209677419,919.68548387,32.14516129,26.050249908,4,659,21,22.551132464,3.5763285483,1080.263724,36.309127511,21.226982862
713,1,0,1,0,34,6496,548,404,3.8123393316,444.46786632,18.678663239,25.280248051,3,146,9,13,3.4727587786,807.84403295,37.108465734,37.82106572
714,1,0,1,0,56,23459,250,319.4,10.407960199,1155.8109453,52.676616915,22.398357741,7,703,38,15.934782609,9.268912359,2172.6859723,48.841477255,29.465171953
715,1,0,1,0,34,13437,129,484,6.1123595506,795.66292135,20.72659176,38.407366664,4,388,12,27.161290323,5.4945732672,1190.2802565,23.253833155,47.817030202
716,1,1,1,0.5,22,6286,134,390.75,4.6756756757,830.55405405,20.972972973,49.531266698,3.5,478,11,31.598901099,3.7200239656,1034.8256175,27.5829871,62.374335734
717,1,0,1,0,32,7520,573,120.75,6.94375,957.3875,61.24375,17.429200896,5,517,33.5,12.367694805,5.9624051487,1221.542797,77.494389886,18.958232303
718,1,0,1,0,85,17613,706,197,13.711033275,2130.4868651,93.838879159,22.231890835,10,1389,62,19.060453401,11.76847711,2464.2113584,102.99072669,18.496335308
719,1,0,1,0,53,12897,329,391.5,6.7089552239,901.17164179,27.25,36.772781715,4,382.5,12,25.533333333,7.3823604183,1478.1407698,43.171648086,42.221544377
720,1,0,1,0,46,3837,412,206.5,7.3822222222,762.16,56.271111111,25.027969619,6,511,27,13.588679245,6.2081200027,802.12627657,71.064685769,28.268538348
721,1,1,1,1,79,24960,519,99.166666667,20.747706422,3138.4587156,83.600917431,35.512320895,14,1517,52,34.385396825,18.88299211,3804.5190908,88.978335266,20.753504829
722,2,0,2,0,67,14140,578,124.6,20.398523985,3363.4391144,137.01476015,25.565477728,18,2936,123,24.235294118,11.959028731,2300.5842485,89.134520497,11.473840663
723,1,0,1,0,33,6441,146,247,7.1878306878,529.44444444,19.600529101,23.881892936,5,198,11,16.134535368,6.2840930125,906.39820816,23.534988902,28.481501392
724,1,0,1,0,33,6072,205,130.4,8.4628975265,705.56183746,44.197879859,15.38067736,6,234,24,11.287878788,6.9940097023,1082.8639032,47.828554586,16.825488037
725,1,0,1,0,48,6151,290,124.375,9.1183673469,747.16326531,45.702040816,15.693107377,6,343,25,13.551724138,9.1435651804,1046.0479792,54.835045071,15.160386642
726,1,0,1,0,92,9311,560,108.66666667,16.958333333,1527.7864583,78.854166667,20.252251659,13,867.5,47,17.284156977,15.944876685,1791.3926757,93.172640431,16.175172698
727,1,0,1,0,72,11669,389,76.260869565,14.865102639,1877.6422287,82.231671554,20.560187672,12,1195,61,18.6,11.146061652,2056.2185012,73.866308047,13.778584815
728,1,0,1,0,82,15001,298,592,17.381395349,2296.6093023,63.646511628,39.425180795,14,1515,46,32.708333333,15.037138694,2429.9391681,62.142703382,49.42838999
729,1,0,1,0,38,9727,415,600,7.6563467492,1208.9071207,60.591331269,25.015291072,5,588,30,16.4,6.7457956746,1613.7052915,75.238256254,58.91457392
730,1,0,1,0,106,75586,1261,598,11.00330033,2044.7656766,65.141914191,36.349941377,6,590,25,18.19047619,13.266623547,5924.4523122,120.16515811,71.398328398
731,1,0,1,0,151,21910,809,232,16.970909091,2786.8872727,103.65454545,25.971583927,12,1627,63,24,18.55390325,3453.0022193,126.38511678,20.805516891
732,1,0,1,0,60,11881,349,101.5,10.305084746,1301.779661,50.101694915,26.627240967,8,651,26,22.96656535,9.9131241703,1794.0874238,66.697083617,20.822354689
733,1,23,2,7.4262295082,71,27031,1037,419.33333333,33.915966387,8266.8823529,187.73109244,60.420144809,37,7022,166,43.203296703,17.44899581,6065.1988386,161.58928358,59.880323833
734,1,0,1,0,70,9129,272,449.125,14.582995951,1459.145749,45.214574899,31.174720697,11,806,31,23.818181818,12.631752574,1708.9746281,45.809504265,37.06315666
735,1,0,1,0,91,42032,977,331.69444444,24.948979592,6050.0680272,143.09863946,45.829458285,18,3251,98,35.770058708,20.495086791,6807.710251,148.08375708,43.170147315
736,1,0,1,0,131,27827,1043,87.68,12.772594752,1682.9446064,73.300291545,20.403566692,8,629,28,17.691588785,15.202364235,3096.8076687,122.33816222,14.92832118
737,1,0,1,0,68,13672,625,479,14.6,2528.1347826,73.686956522,42.482356627,11,1982,46.5,35.69984917,12.503833473,2395.60911,88.446551123,42.918387083
738,1,0,1,0,42,27394,257,334.07317073,8.3664459161,1104.388521,22.653421634,42.122182218,5,481,12,32.5,7.8406657737,2095.7522693,28.876016137,42.141664445
739,1,0,1,0,86,10267,873,112.66666667,11.285714286,1142.7792208,55.194805195,20.825868877,7,447,24,18.108108108,12.241970369,1643.7381095,103.91681945,18.756920043
740,2,20,4,4,95,9428,506,60.416666667,32.652777778,3340.5138889,143.44444444,24.535343629,30,2909.5,122,23.929288244,20.406470743,2278.0828125,103.57287072,8.9606997703
741,1,0,1,0,25,8656,191,207.33333333,5.6494252874,1085.0632184,41.390804598,32.280635448,4,585,19.5,26.010266858,4.6118814528,1295.3605705,47.705710646,30.694303629
742,1,0,1,0,119,20586,1005,100.4375,26.351206434,3374.4369973,163.23324397,19.406200656,18,1925,108,17.604651163,23.541486599,3759.3005182,163.57536414,12.788018673
743,1,0,1,0,67,10711,511,233,12.620833333,1748.1958333,64.558333333,29.125496256,10,1097.5,41.5,24.567765568,11.44214039,1996.0877424,74.933476309,24.445296529
744,1,0,1,0,63,8248,481,139.5,12.638888889,1144.2901235,81.632716049,13.806752077,11,788.5,70,11.529858733,8.8850153884,1228.4670464,72.883623535,12.273769302
745,1,0,1,0,101,13529,664,197.5,13.43989071,1862.2786885,67.270491803,26.901129252,8,860.5,40,22.426459293,14.489880985,2609.1047904,85.521033563,22.019855897
746,1,0,1,0,119,15056,627,102.75,28.724137931,2856.5431034,129.92241379,17.970350748,17,1264,73.5,16.870900901,29.619984539,3631.4349516,147.08251657,14.298637736
747,1,0,1,0,90,14792,469,563,18.791666667,2141.0178571,71.69047619,28.376555407,14,1232.5,44,25.265852391,16.811813248,2652.8004239,78.064149081,35.999019618
748,1,0,1,0,74,10708,330,191,5.7715133531,657.92581602,26.545994065,30.343504015,3,300,13,24.083333333,7.3252268225,1058.4954972,41.577793448,24.666865845
749,1,0,1,0,95,12198,587,61.615384615,28.372881356,2781.3686441,159.28389831,17.478241885,24,2249.5,136.5,16.623757904,21.219138936,2320.531389,118.52465367,9.4344878156
750,1,0,1,0,58,9375,543,302,12.320557491,1592.4390244,73.393728223,27.047593511,9,1034,47,21.916666667,11.267955168,1719.838475,81.774517478,26.542582703
751,1,0,1,0,12,4139,151,96.416666667,2.9189189189,586.59459459,27.315315315,17.007643222,2,246,18,12.458333333,2.2284733263,789.59825663,27.147737887,16.310066524
752,2,0,2,0,305,65061,2072,422.45454545,48.175824176,14652.516484,432.95604396,44.586743206,42,9752,318,30.384180791,45.1342672,15295.309133,435.62838169,61.057660243
753,1,0,1,0,23,8997,189,123.64285714,5.8590909091,503.02272727,28.309090909,15.859296031,5,198,20,9.9642857143,4.2676610311,867.80753207,28.794420266,17.987837376
754,1,0,1,0,34,10041,240,203.33333333,5.027972028,819.63636364,31.867132867,22.641603304,4,439,25,16.290322581,4.651130494,1346.4748265,34.201811533,24.757756413
755,1,0,1,0,47,15441,578,116,8.7215189873,1039.1550633,50.965189873,17.616336144,6,405.5,28.5,14.005148515,8.1928140544,1648.1895459,63.709873574,18.299749771
756,1,1,1,0.25,32,10267,439,169.66666667,8.4121863799,1254.4121864,39.752688172,35.305303146,7,833,24,27.52,5.7967984734,1392.7450143,43.960247554,27.038315224
757,1,0,1,0,41,6574,180,485,4.1082474227,323.22680412,11.180412371,31.249783344,3,99.5,5,21.024509804,4.3767808803,601.70279056,17.443105828,44.445793486
758,1,0,1,0,38,7548,313,170,6.9527896996,821.6223176,27.896995708,26.430532419,5,281,14,20.105263158,6.8771487823,1249.4926915,40.781774575,27.338856647
759,1,0,1,0,255,31601,1398,160,29.604651163,4014.7940199,150.15282392,30.28226744,18,2183,88,28.660225443,33.89385163,5097.8891688,192.06232469,18.934713417
760,1,0,1,0,55,7907,266,219.42857143,7.9634146341,721.26341463,33.504878049,21.739434854,6,387,20,16.455769231,7.4869815652,1014.5324426,40.533438466,25.285980768
761,1,0,1,0,86,32145,440,199.91666667,10.354632588,1837.3003195,65.182108626,28.147757748,7,841,33,22.705357143,10.960540499,2921.2677963,82.583924287,27.170372
762,1,0,1,0,28,5253,179,357,3.6705607477,398.21261682,12.10046729,32.968345703,3,116.5,6,20.928571429,3.0262509038,596.55523163,17.127342309,42.722240751
763,1,2,1,0.5,79,8611,403,199,14.789954338,1309.1643836,61.452054795,23.145694307,10,814,40,18.65,14.7533759,1566.7688279,72.806210246,20.408030765
764,1,0,1,0,21,1456,55,231,4.4079696395,151.26375712,8.2580645161,18.883454925,3,71,6,10.454545455,3.5682606257,203.5209294,7.5595108209,26.624224116
765,1,0,1,0,128,29028,933,109.86666667,25.610837438,3431.8965517,149.03940887,22.900812536,20,1860,97,19.76056338,22.018697743,4021.1234901,144.47980579,16.595326867
766,1,0,1,0,287,80863,570,145,57.918367347,15345.693878,128,102.45426895,23,6109,58,112.69359331,71.91193594,19932.547272,150.71371869,44.653347609
767,1,0,1,0,37,7010,327,382,5.3573883162,582.80756014,25.484536082,29.085783734,3,212,10,18.2,5.744812237,874.00324552,38.569627161,41.306587068
768,1,0,1,0,34,11499,529,40.153846154,8.0498220641,1015.4626335,83.042704626,9.7184548897,6,539,60,7.7901234568,6.5860519528,1393.4808009,77.317700051,7.2094030823
769,1,0,1,0,31,43433,348,321.21774194,6.5195530726,2026.0502793,66.296089385,32.027239701,5,961,42,21.933333333,5.9021428047,4748.1754879,71.496888722,37.603720786
770,1,0,1,0,68,10183,543,319,14.036630037,1678.2197802,68.813186813,26.746545332,10,812,41,21.956873315,12.982685543,2004.6540838,83.307268602,29.841150844
771,1,0,1,0,73,37987,431,299,8.9200913242,1406.1164384,45.46347032,28.928795886,5,462.5,21,21.150793651,11.166126776,2899.6840983,64.090662963,31.158775148
772,1,0,1,0,83,19991,774,369,19.181556196,2868.9769452,98.711815562,31.485133702,16,2093,77,27.818181818,14.814806876,2882.0621681,102.17627833,27.544953112
773,1,0,1,0,63,10075,410,297.66666667,8.930362117,933.40111421,48.520891365,21.987058873,6,515,27,16.69047619,8.6810747495,1222.323013,58.467380805,25.522936884
774,1,0,1,0,77,11578,469,101,11.736453202,996.3226601,52.628078818,15.618471478,8,386.5,30.5,12.682170543,11.076256498,1623.4262219,64.937288645,13.812565444
775,1,0,1,0,30,11800,247,444.5,7.3815789474,1659.4649123,44.811403509,42.787788411,5,942.5,28,25.382142857,5.4107914001,2053.7320136,44.501194873,56.612623029
776,1,4,1,1.1666666667,184,5120,919,253,43.734375,1268.34375,217.4453125,7.7871935311,33.5,974.5,166.5,5.8673678332,38.964648701,1133.0890218,193.80978615,21.920658813
777,1,0,1,0,45,12023,254,528,5.0604651163,697.41395349,22.186046512,40.715332183,3,271,9,20.857142857,5.0419798225,1302.0291069,35.993805161,59.694518877
778,1,0,1,0,55,9588,339,285.25,9.2139037433,1048.6149733,46.320855615,21.152518965,6,546,26,17.942028986,9.2479128277,1413.9296767,55.121798113,26.371712395
779,1,0,1,0,42,41428,243,599,8.2888888889,4292.8074074,36.607407407,103.05429111,5.5,1226,21,57.187676554,7.7635758697,7110.8236876,40.735358862,118.58340565
780,1,0,1,0,34,5291,152,591,9.3470588235,1392.4529412,45.711764706,35.606756241,9,985,35,28.934750337,5.9814919323,1231.6608696,36.487565887,49.131528448
781,1,0,1,0,34,5723,251,242,7.8467153285,772.3649635,25.131386861,34.937201911,6,379,12,26.558449074,7.3796974346,1024.7401985,34.76784703,37.142057529
782,1,0,1,0,181,44201,1611,300,7.845626072,1084.7186964,43.192109777,23.346619953,4,199,14,14.4,12.279121102,3060.7280701,111.63302425,31.336591974
783,1,1,1,1,37,8647,413,599,7.171314741,1349.9322709,48.637450199,40.978976976,5,946,27,28.375,5.9543709882,1453.1706684,59.692612875,60.080901114
784,1,0,1,0,23,5845,186,299.5,6.4642857143,723.51428571,35.157142857,19.21100145,4,340.5,21.5,13.480474453,4.8464341476,981.69040443,38.281101791,28.890116494
785,1,0,1,0,57,9340,575,312,13.217948718,1922.4198718,119.50320513,18.562093196,11,1597.5,105,14.25974026,10.615643902,1710.4810985,100.26489027,23.840764393
786,1,0,1,0,80,15878,382,424.5,10.538793103,1502.7801724,47.426724138,34.773833726,6.5,728.5,26.5,28.918550107,11.538689082,2349.1671102,63.168528601,43.41159048
787,2,0,4,0,133,40969,770,155.22222222,58.939849624,15825.481203,315.82706767,48.175812365,54,13921,264,47.776859504,38.103081757,12676.921584,236.12584958,19.739371656
788,1,0,1,0,112,18991,695,79.770491803,24.760869565,2739.4913043,111.49565217,22.194696505,15,1478,61.5,21.378945111,24.314159965,3528.8807357,126.04524549,14.893451801
789,1,0,1,0,169,44314,1740,106.4,34.253333333,4888.7333333,272.04666667,21.043153676,24.5,2429,175,19.223272781,33.117481883,6798.4363793,315.89961741,16.358274984
790,1,0,2,0,100,14870,719,54.466666667,19.730021598,1301.7969762,101.81425486,11.343423138,13,735,67,9.9538461538,18.083695073,1690.0119629,102.36062244,8.8379630207
791,1,0,1,0,62,14142,507,533,7.6422018349,1344.2247706,40.160550459,54.404649098,5,709.5,15,35.456272401,8.0825498278,1804.030204,61.292957502,62.488198839
792,1,0,1,0,67,11540,517,191,14.369047619,2101.4801587,53.611111111,41.987639419,11,1283,31,38.188211575,11.995463713,2292.8145623,60.68132056,29.473015513
793,1,0,1,0,53,10383,474,508,8.9728682171,1225.5271318,49.031007752,33.986861672,7,834,34,25.732142857,7.7777518877,1409.5872651,58.613345977,43.158612008
794,1,0,1,0,53,14899,509,444,12.683098592,1933.1971831,74.169014085,25.699806669,10,1187,54,22.034501643,11.407560396,2258.6467907,73.112283252,30.180818595
795,1,0,1,0,94,17572,719,134.66666667,42.232067511,4263.7468354,173.26160338,24.542363163,45,3572,174,23.603375527,25.636989654,3434.5682794,124.19837502,13.423822435
796,1,0,1,0,63,21680,399,180.33333333,9.0616113744,1402.549763,42.379146919,29.21609911,6,656,25,25.95,8.9809849529,2187.574972,51.296879523,25.209886931
797,1,0,1,0,64,27828,981,283,7.4409090909,1582.6545455,51.277272727,42.150037665,5,542.5,13,35.795238095,8.9259336434,3394.2394483,118.70442334,38.037453703
798,1,1,1,1,39,10718,255,241,8.4403292181,1913.9259259,53.818930041,37.875346586,7,1448,46,32.797297297,6.3584019945,1801.4696877,44.995042561,23.739208617
799,1,0,1,0,50,5461,336,122.48387097,9.1047120419,1103.9947644,47.926701571,26.084087541,6,628,24,21.666666667,9.1236839741,1240.8202486,62.02007204,19.799514117
800,1,0,1,0,76,11755,533,79.739130435,10.140804598,1093.9051724,88.017241379,13.577642806,6,389.5,33.5,9.9641638225,11.294601063,1542.7609984,114.5079172,12.747824822
801,1,0,1,0,90,6764,365,232.72222222,12.777522936,981.91513761,52.919724771,19.030808736,11,607.5,44,14.430952381,10.29400224,1194.6980034,47.129271729,21.620996535
802,1,0,1,0,44,14314,599,599.33333333,5.6909090909,1305.8159091,39.377272727,47.680632298,3,329,11,30.5,6.7270175076,2205.7523627,70.220436718,68.53947096
803,1,0,1,0,102,14302,706,176.97435897,22.995145631,2032.0097087,139.45145631,13.560643168,17,1191.5,111.5,11.690320761,19.690408108,2433.849804,133.89364208,15.518965705
804,1,0,1,0,52,14343,882,166.34782609,8.9553072626,1635.7821229,71.770949721,27.514362984,5,681,27,19.557377049,9.1925844742,2497.2163115,119.6471312,29.179887477
805,1,0,1,0,90,16232,594,101.85714286,14.054878049,2055.1554878,84.74695122,24.962971928,7,944.5,37,22.043657071,16.979661534,2882.0347823,116.80855501,19.023208619
806,1,1,1,1,96,24920,866,115,28.34502924,6058.1169591,225.15789474,28.362810637,25,5485,211,27.375,20.28164097,4502.6581154,166.04639211,14.323821944
807,1,0,1,0,175,36294,1221,90.730769231,45.849710983,8762.4566474,302.32947977,28.32060352,43,6391,264,28.75,31.887346445,7761.7125721,233.94481335,14.74193994
808,1,1,1,0.5,54,16786,488,167.66666667,8.1341991342,1632.030303,53.393939394,32.694031067,5,846,25,28.06147541,8.9832791115,2317.704718,71.900328097,26.299498795
809,1,0,1,0,40,12215,414,245,9.3360433604,1282.5934959,52.116531165,25.564829879,7,605,25,21.214285714,7.7400585998,1716.7525991,68.688450495,23.608567886
810,1,0,1,0,66,10050,606,462,9.6138211382,1237.3252033,40.924796748,32.349138705,5,593.5,18,26.77364532,11.000891097,1677.4532012,59.074088204,31.896719809
811,1,0,1,0,52,8746,361,127.73333333,12.330855019,1281.3754647,56.353159851,22.12717711,9,834,41,19.1,10.563870048,1404.5690595,55.949519152,16.518445289
812,1,0,1,0,55,7783,283,100.16666667,10.037209302,1352.1581395,48.772093023,26.723523008,7,771,31,23.175,9.5300072878,1604.0242654,54.393161702,20.744408854
813,1,0,1,0,42,11368,832,105.28888889,9.2585365854,1367.8097561,73.053658537,20.165090455,7,752,42,15.436363636,7.5813553424,1790.6234641,100.39852964,19.352472613
