CUS_ID,s_v_min,s_t_min,s_pr_min,s_prt_min,s_v_max,s_t_max,s_pr_max,s_prt_max,s_v_mean,s_t_mean,s_pr_mean,s_prt_mean,s_v_median,s_t_median,s_pr_median,s_prt_median,s_v_sd,s_t_sd,s_pr_sd,s_prt_sd
1909,1,0,1,0,33,7099,120,332,4.47265625,516.25390625,15.1640625,34.548295727,3,195.5,7,25.40625,4.8619404638,846.78634131,19.799099739,36.2510309
1910,1,0,1,0,162,23726,824,600,21.839130435,2989.5521739,104.80869565,31.100176054,14,1728,65.5,26.489315908,24.077662538,3807.4795322,123.5117798,42.586368773
1911,1,0,1,0,124,30279,1022,114.27272727,38.434782609,7971.0923913,271.0326087,31.152004491,30.5,6217,211,28.621424104,31.893026234,7050.8390205,251.20707288,15.558682639
1912,1,0,1,0,75,11097,577,236.5,11.676375405,1515.9676375,78.394822006,18.817974133,8,776,45,15.601092896,11.185222966,1909.5997011,83.049270146,19.431247085
1913,1,0,1,0,57,10874,614,258.5,10.925093633,1839.5692884,79.921348315,28.262539072,7,969,43,21.822033898,10.888792243,2140.495517,101.23644156,27.870469176
1914,1,0,1,0,150,23037,931,446,16.140264026,2359.1072607,79.087458746,31.618423848,9,927,32.5,26.246875,20.325576346,3621.7838334,118.39614387,31.736836098
1915,1,0,1,0,50,10633,234,257.5,9.0275,1379.87,44.25,32.07610448,6,759.5,29,26.605084746,8.612326874,1689.2159125,47.015994719,28.718067325
1916,1,0,1,0,51,8627,455,163.33333333,8.2664576803,1043.460815,58.068965517,19.18212939,6,483,30,14.244444444,7.2364275684,1398.6867934,72.694252512,20.268679709
1917,1,0,1,0,54,11082,225,213.5,8.1728813559,1281.4610169,32.420338983,35.995540731,6,589,16,33.627906977,8.3735457771,1751.2927619,40.119713629,27.553122378
1918,1,0,2,0,121,19991,564,220,37.088435374,4963.1564626,181.93877551,28.190399075,27,3385,148,24.824324324,31.522752203,4695.5374992,143.55807495,22.894397266
1919,1,0,1,0,70,13346,461,479.4,6.9295039164,866.27937337,25.885117493,32.716373861,4,186,9,18.25,8.2989144256,1644.8988552,47.645202292,52.340542523
1920,1,0,1,0,48,10657,503,79.142857143,9.79138322,1552.0839002,83.476190476,18.332078205,6,912,49,16.022222222,9.5099000158,1811.7458895,89.296187438,13.433624305
1921,1,0,1,0,99,17234,618,179.5,22.077348066,3042.4309392,109.32596685,29.63076365,18,2561,89,25.928315412,18.133902737,3007.9520575,103.86374001,20.613877392
1922,1,0,1,0,106,9084,592,61.857142857,32.611111111,2194.4876543,158.17901235,13.606952807,28,1847.5,140,11.892210237,21.190719286,1874.4285464,112.81562512,8.8485233136
1923,1,0,1,0,84,11864,402,326,8.2511415525,786.89269406,33.646118721,23.192037698,4,270.5,15,16.477522478,10.372289084,1301.8063528,49.617072531,32.71915163
1924,1,0,1,0,52,13077,307,489.5,12.442176871,1419.7142857,41.421768707,35.784276691,10,855.5,26,29.682539683,10.258188606,1797.6803426,49.14329888,39.905672539
1925,1,0,1,0,49,8112,643,202.33333333,8.174863388,979.5,38.393442623,29.650843726,6,465,19,24.148351648,7.5906952311,1444.9757428,58.487683852,27.335076599
1926,1,0,1,0,34,9977,496,133.22222222,7.2894736842,670.31052632,35.247368421,16.820587931,5,177.5,14,11.439130435,6.6008973846,1290.1308713,57.035743628,20.121220659
1927,1,0,1,0,45,7338,255,192,7.6,786.94909091,26.28,29.756040849,5,377,14,25.25,7.0405499122,1113.8916184,34.923244304,27.723915429
1928,1,0,1,0,24,5362,147,300,5.5583756345,673.18274112,21.862944162,37.397692286,4,402,14,26.653846154,4.702679805,836.94515407,24.836331548,40.194860426
1929,1,0,1,0,83,13006,804,129.25,12.974522293,1300.3949045,91.286624204,14.740740464,9,685.5,59.5,12.447916667,12.266710735,1736.9342341,104.83628198,13.081185243
1930,1,0,1,0,16,9843,148,425.375,2.6643356643,465.52797203,8.4020979021,56.974957105,2,196.5,5,35,2.0789472908,826.94165618,12.617553735,66.427074402
1931,1,0,1,0,30,4939,130,204,4.1029411765,288.75490196,11.828431373,26.552515869,3,138.5,8,19.717948718,3.4944278201,496.33658801,15.954830808,24.470310322
1932,1,0,1,0,39,7156,299,599,5.5408163265,615.76020408,23.75,29.813191975,3,183.5,9.5,16.035294118,5.8984039063,997.5484777,37.178476709,53.586086071
1933,1,0,1,0,33,3173,191,180.75,4.4219269103,381.52491694,17.368770764,23.531041574,4,203,11,17.125,3.3948074478,486.94673584,21.441242691,23.616029155
1934,1,0,1,0,66,6362,418,111.125,11.561959654,1165.2276657,66.167146974,17.897247908,10,743,44,14.6875,9.4167201357,1279.3946467,70.043675588,14.444130419
